,OOO裡沒有OO,XXX不倒，臺灣不會好,別讓XX不開心,原來是OO，我還以為是XX呢,唯一支持OO,如果OO不是XX那什麼才是XX,我有一個請求，你OOO的時候不能XX，若有XX，我要跟你OO,抓到了，XXX請退選,潮(海)水退了就知道誰沒穿褲子,無限期支持ＯＯ,當OO成為事實XX就是義務,自己的OO自己X
0,6,4,6,3,6,3,2,2,2,6,2,6
1,6,6,6,5,6,3,4,2,2,6,5,6
2,2,6,4,4,2,1,2,6,6,3,2,5
3,6,5,5,4,4,4,4,5,5,4,4,5
4,5,5,5,5,5,5,3,5,4,4,4,5
5,3,6,6,6,6,6,3,6,6,6,4,6
6,5,5,5,3,4,4,1,4,3,4,2,6
7,2,6,5,4,6,3,3,5,6,4,2,5
8,4,5,5,4,5,4,5,4,4,4,4,6
9,3,5,5,6,6,4,3,4,5,5,4,6
10,3,6,6,5,6,6,4,5,6,6,6,6
11,3,1,5,2,3,5,2,1,3,4,4,4
12,4,4,4,4,3,4,4,3,4,4,4,4
13,5,5,5,5,5,5,5,5,5,5,5,5
14,6,6,6,6,6,6,6,6,6,6,6,6
15,1,4,6,6,4,4,6,1,5,6,4,6
16,3,4,4,4,4,3,4,3,3,4,3,4
17,4,5,5,5,5,5,5,5,5,5,5,5
18,2,6,6,5,4,4,4,4,4,3,4,6
19,2,5,5,5,6,5,4,3,3,6,4,5
20,4,4,4,5,3,2,3,3,3,5,2,5
21,2,6,5,6,6,5,5,6,6,6,5,6
22,4,6,5,4,6,4,3,4,5,5,4,6
23,4,4,5,4,3,5,4,3,5,4,5,5
24,3,5,6,5,6,5,4,5,6,5,5,6
25,2,6,4,5,5,2,1,2,6,4,1,4
26,4,4,4,4,4,4,3,3,4,4,4,4
27,6,4,6,6,5,6,3,4,3,5,4,6
28,6,6,6,6,6,6,5,6,6,6,6,6
29,5,5,5,5,5,5,2,2,5,5,5,5
30,2,2,3,2,5,3,3,4,4,2,2,4
31,1,6,1,1,1,1,6,1,1,1,1,6
32,3,5,5,5,5,4,4,3,3,3,4,5
33,2,2,3,2,2,2,3,2,4,4,2,4
34,1,2,3,1,3,4,1,2,3,1,1,2
35,3,5,5,4,5,4,3,2,4,3,4,4
36,3,6,5,5,5,6,3,4,6,5,5,6
37,3,2,6,5,4,4,2,2,2,5,3,6
38,3,4,6,4,4,6,5,5,6,6,4,5
39,4,4,4,4,4,3,2,4,4,4,4,4
40,6,6,6,6,6,6,6,6,6,6,6,6
41,3,4,4,1,3,3,1,2,1,3,3,4
42,3,4,4,3,3,3,4,3,3,4,3,5
