"","sent_easy2know","sent_easy2makesents","sent_easy2talk"
"OOO裡沒有OO",4.2093023255814,3.90697674418605,3.53488372093023
"XXX不倒，臺灣不會好",5.23255813953488,4.3953488372093,4.67441860465116
"如果OO不是XX那什麼才是XX",4.6046511627907,4.44186046511628,4.11627906976744
"自己的OO自己X",5.06976744186047,4.95348837209302,5.13953488372093
"別讓XX不開心",4.86046511627907,5.25581395348837,4.86046511627907
"抓到了，XXX請退選",4.48837209302326,4.09302325581395,3.65116279069767
"原來是OO，我還以為是XX呢",4.65116279069767,4.67441860465116,4.27906976744186
"唯一支持OO",5.2093023255814,4.6046511627907,4.53488372093023
"無限期支持ＯＯ",5.02325581395349,4.86046511627907,4.44186046511628
"當OO成為事實XX就是義務",4.46511627906977,4.09302325581395,3.74418604651163
"潮(海)水退了就知道誰沒穿褲子",4.37209302325581,3.88372093023256,4.25581395348837
"我有一個請求，你OOO的時候不能XX，若有XX，我要跟你OO",3.81395348837209,3.34883720930233,3.48837209302326
