,OOO裡沒有OO,XXX不倒，臺灣不會好,別讓XX不開心,原來是OO，我還以為是XX呢,唯一支持OO,如果OO不是XX那什麼才是XX,我有一個請求，你OOO的時候不能XX，若有XX，我要跟你OO,抓到了，XXX請退選,潮(海)水退了就知道誰沒穿褲子,無限期支持ＯＯ,當OO成為事實XX就是義務,自己的OO自己X
0,6,6,6,6,6,6,6,6,6,6,6,6
1,6,6,6,5,6,4,1,3,3,6,2,6
2,4,6,6,4,6,3,4,5,6,4,6,6
3,6,6,4,5,6,4,4,3,6,5,5,6
4,5,5,5,2,5,4,3,5,4,5,3,5
5,4,6,6,6,6,6,5,6,6,6,6,6
6,5,6,5,5,4,3,3,4,2,5,3,5
7,3,6,4,4,6,5,3,6,3,6,5,5
8,4,5,4,4,5,4,4,4,4,5,5,5
9,4,5,5,6,6,5,2,6,5,6,4,5
10,4,6,6,6,6,6,3,5,6,6,6,6
11,6,4,6,3,4,5,2,5,3,6,3,2
12,3,4,4,4,4,4,3,4,4,4,4,4
13,5,5,5,5,5,5,5,5,5,5,5,5
14,5,6,6,6,6,6,6,6,5,6,6,6
15,3,6,6,6,6,6,6,6,5,6,6,6
16,4,4,4,4,4,3,4,3,3,4,4,4
17,5,5,5,5,5,5,5,5,5,5,5,5
18,6,6,4,4,4,5,3,3,4,4,3,4
19,3,6,5,4,6,5,3,6,3,6,5,5
20,4,5,5,4,5,3,3,4,2,5,4,4
21,6,6,6,6,6,6,6,6,6,6,6,6
22,4,6,5,4,5,4,3,5,5,5,4,6
23,5,4,5,5,5,5,4,3,6,4,5,4
24,6,6,6,6,6,6,6,6,6,6,6,6
25,3,4,5,6,6,3,3,5,6,6,1,4
26,4,5,5,4,5,4,3,5,3,5,5,5
27,6,5,6,5,5,6,4,4,5,5,5,6
28,5,6,5,6,5,6,5,5,6,5,5,6
29,6,6,6,6,6,6,6,6,6,6,6,6
30,4,3,2,3,4,3,4,2,3,3,2,4
31,1,6,1,6,1,1,1,1,1,1,1,1
32,2,5,4,3,5,2,2,4,4,4,4,4
33,2,6,2,2,6,2,2,3,2,2,3,6
34,1,4,5,2,5,5,5,6,6,5,3,5
35,3,5,4,4,5,5,2,2,5,4,5,5
36,3,5,5,5,5,5,4,4,4,5,5,5
37,4,2,5,4,5,5,1,2,1,5,3,6
38,3,6,6,6,6,6,5,6,6,6,5,6
39,5,5,5,4,5,4,3,5,3,5,5,5
40,6,6,6,6,6,6,6,6,6,6,6,6
41,3,4,4,3,5,5,5,3,5,5,5,4
42,4,6,4,6,6,6,6,4,3,6,6,6
